,F_value,pvalue,value_counts,name
hexdp_c,8.00657299417555,0.012679104048486472,"[(0.34112770162161854, 1), (0.6189301516117237, 1), (0.9999999999995451, 1), (0.34112770162166056, 1), (0.3411277016216591, 1), (0.29389903057969147, 1), (0.6189301516117244, 1), (0.999999999999548, 1), (0.6189301516116124, 1), (0.6890693980427772, 1), (0.99999999999954, 1), (0.341127701621656, 1), (0.6352873767208173, 1), (0.29389903057971073, 1), (0.6966705507498183, 1), (0.29389903057970435, 1), (0.3411277016216621, 1)]",all-trans-Hexaprenyl diphosphate
hepdp_c,8.00542097658668,0.012684321160548405,"[(0.34057502406054374, 1), (0.6171220608527569, 1), (0.9999999999995347, 1), (0.34057502406058604, 1), (0.3405750240605847, 1), (0.2930003132026127, 1), (0.6171220608527577, 1), (0.9999999999995374, 1), (0.6171220608526453, 1), (0.6877752106267593, 1), (0.9999999999995296, 1), (0.3405750240605815, 1), (0.6335991337374118, 1), (0.2930003132026317, 1), (0.6954320562301777, 1), (0.2930003132026253, 1), (0.34057502406058765, 1)]",all-trans-Heptaprenyl diphosphate
octdp_c,8.004453362308633,0.012688705075561064,"[(0.3401551716664194, 1), (0.6157485090977882, 1), (0.9999999999995267, 1), (0.340155171666462, 1), (0.3401551716664606, 1), (0.2923175848470887, 1), (0.615748509097789, 1), (0.9999999999995296, 1), (0.6157485090976765, 1), (0.6867920556673694, 1), (0.9999999999995214, 1), (0.3401551716664573, 1), (0.6323166267055219, 1), (0.2923175848471076, 1), (0.6944912094764761, 1), (0.29231758484710096, 1), (0.34015517166646364, 1)]",all-trans-Octaprenyl-diphosphate
decdp__tb_c,8.002944068459154,0.012695546622440606,"[(0.33955952264365896, 1), (0.6137998367262409, 1), (0.999999999999515, 1), (0.33955952264370204, 1), (0.33955952264370054, 1), (0.29134899092343874, 1), (0.6137998367262418, 1), (0.9999999999995177, 1), (0.6137998367261287, 1), (0.6853972433502364, 1), (0.9999999999995095, 1), (0.3395595226436971, 1), (0.6304971204435131, 1), (0.29134899092345734, 1), (0.693156420257092, 1), (0.29134899092345073, 1), (0.3395595226437036, 1)]",E-E-E-E-E-E-E-Z-Z-Decaprenyl-diphosphate
decdp_c,8.002944068459154,0.012695546622440606,"[(0.3395595226436589, 1), (0.6137998367262409, 1), (0.999999999999515, 1), (0.33955952264370204, 1), (0.33955952264370054, 1), (0.29134899092343874, 1), (0.6137998367262418, 1), (0.9999999999995177, 1), (0.6137998367261287, 1), (0.6853972433502364, 1), (0.9999999999995095, 1), (0.3395595226436971, 1), (0.6304971204435131, 1), (0.29134899092345734, 1), (0.693156420257092, 1), (0.29134899092345073, 1), (0.3395595226437036, 1)]",all-trans-Decaprenyl-diphosphate
udcpdp_c,8.00234924050136,0.012698244109174752,"[(0.3393406137824344, 1), (0.613083673963515, 1), (0.9999999999995112, 1), (0.3393406137824776, 1), (0.33934061378247615, 1), (0.29099301989903825, 1), (0.613083673963516, 1), (0.9999999999995138, 1), (0.6130836739634028, 1), (0.6848846314524261, 1), (0.9999999999995058, 1), (0.3393406137824727, 1), (0.6298284279273039, 1), (0.2909930198990568, 1), (0.6926658676383101, 1), (0.29099301989905, 1), (0.33934061378247915, 1)]",Undecaprenyl-diphosphate
udcpp_c,7.999510999648392,0.01271112432315919,"[(0.3383881607804103, 1), (0.6099677134241377, 1), (0.9999999999994893, 1), (0.33838816078045403, 1), (0.3383881607804527, 1), (0.28944422160495786, 1), (0.6099677134241386, 1), (0.9999999999994922, 1), (0.6099677134240247, 1), (0.6826543026379068, 1), (0.999999999999484, 1), (0.338388160780449, 1), (0.6269190062121137, 1), (0.28944422160497585, 1), (0.6905315167865624, 1), (0.2894442216049691, 1), (0.33838816078045575, 1)]",Undecaprenyl-phosphate
hisp_c,7.984805365809889,0.012778100720445554,"[(0.2712298344966542, 1), (0.6199275013834455, 1), (0.966213217369349, 1), (0.27122983449687726, 1), (0.27122983449688115, 1), (0.28293524401124864, 1), (0.619927501383442, 1), (0.9053389778481236, 1), (0.6199275013834253, 1), (0.6231207262612748, 1), (0.9662132173693554, 1), (0.27122983449687793, 1), (0.6509430411351751, 1), (0.28293524401126086, 1), (0.6788878475539382, 1), (0.2829352440112565, 1), (0.27122983449687826, 1)]",L-Histidinol-phosphate
1pyr5c_c,7.9838143465944444,0.012782628850323836,"[(0.2035196190279378, 1), (0.4006409929353516, 1), (0.999999999999182, 1), (0.20351961902795368, 1), (0.20351961902795557, 1), (0.20351961902795646, 1), (0.4006409929353538, 1), (0.9999999999991733, 1), (0.4006409929353876, 1), (0.5818383699345029, 1), (0.9999999999991804, 1), (0.20351961902794868, 1), (0.31918642244688544, 1), (0.203519619027966, 1), (0.7444961613157564, 1), (0.20351961902795124, 1), (0.20351961902795423, 1)]",1-Pyrroline-5-carboxylate
ipdp_c,7.9820752799788455,0.012790579388030498,"[(0.3564340772723025, 1), (0.6690051289881348, 1), (0.9999999999998374, 1), (0.35643407727233634, 1), (0.35643407727233517, 1), (0.31878896052476097, 1), (0.6690051289881351, 1), (0.9999999999998405, 1), (0.6690051289880351, 1), (0.7249118496777601, 1), (0.9999999999998336, 1), (0.3564340772723326, 1), (0.6820431763291416, 1), (0.3187889605247868, 1), (0.7309705905814791, 1), (0.3187889605247814, 1), (0.35643407727233717, 1)]",Isopentenyl-diphosphate
dmpp_c,7.982075279978836,0.012790579388030533,"[(0.3564340772723025, 1), (0.6690051289881348, 1), (0.9999999999998372, 1), (0.3564340772723364, 1), (0.3564340772723352, 1), (0.31878896052476097, 1), (0.6690051289881351, 1), (0.9999999999998406, 1), (0.6690051289880351, 1), (0.7249118496777602, 1), (0.9999999999998337, 1), (0.3564340772723342, 1), (0.6820431763291416, 1), (0.31878896052478684, 1), (0.7309705905814792, 1), (0.31878896052478295, 1), (0.3564340772723372, 1)]",Dimethylallyl-diphosphate
unaga_c,7.961618125782895,0.012884531632027123,"[(0.33385435337548347, 1), (0.6096920129650626, 1), (0.9999999999994714, 1), (0.33385435337556446, 1), (0.3338543533755632, 1), (0.2887971069783677, 1), (0.6096920129650635, 1), (0.9999999999994748, 1), (0.6096920129649576, 1), (0.6743725232969179, 1), (0.9999999999994674, 1), (0.3338543533755604, 1), (0.6321387699816526, 1), (0.28879710697838507, 1), (0.6807125154381866, 1), (0.28879710697837846, 1), (0.3338543533755661, 1)]",Undecaprenyl-diphospho-N-acetyl-glucosamine
PIM4_c,7.94574913091366,0.012957958370677961,"[(0.24341182625157462, 1), (0.3891780836997375, 1), (0.8103993027093297, 1), (0.2303548641483801, 1), (0.2732219330450203, 1), (0.23404572838816104, 1), (0.4881368029855403, 1), (0.8300669038728117, 1), (0.4826918084480647, 1), (0.4710267557652519, 1), (0.8121918904057942, 1), (0.23035486414837889, 1), (0.5375053155710395, 1), (0.23074170332883961, 1), (0.43272284668202754, 1), (0.178785246725874, 1), (0.23035486414838244, 1)]",phosphatidylinositol-mannoside-tetra-mannose-tuberculosis
ragund_c,7.8789801003582145,0.013272215725567613,"[(0.33239142130012334, 1), (0.6014782421269568, 1), (0.9999999999991279, 1), (0.3323914213002029, 1), (0.33239142130020227, 1), (0.28462033948428334, 1), (0.6014782421269583, 1), (0.9999999999991306, 1), (0.601478242126854, 1), (0.6633636942094964, 1), (0.9999999999991233, 1), (0.3323914213001993, 1), (0.6247425034275198, 1), (0.284620339484233, 1), (0.6694948866788311, 1), (0.2846203394842258, 1), (0.3323914213002044, 1)]",rhamanosyl-N-acetylglucosamyl-undecaprenyl-diphosphate
cdpdhdecg_c,7.878374625102793,0.013275105271893285,"[(0.16977821627207051, 1), (0.44151656708933745, 1), (0.6691142514470303, 1), (0.14446875635259027, 1), (0.22756177244194126, 1), (0.20219846640512784, 1), (0.5227207981659976, 1), (0.7242087721230803, 1), (0.441516567089233, 1), (0.4912680037702723, 1), (0.6725889821001507, 1), (0.14446875635258838, 1), (0.5927755919742854, 1), (0.25281832435381996, 1), (0.4625162371312403, 1), (0.2071104964856254, 1), (0.14446875635259232, 1)]",CDP-1-2-dihexadecanoylglycerol
hmbpp_c,7.867914188903191,0.013325140550950054,"[(0.3546593719663592, 1), (0.6869192360118206, 1), (0.999999999999815, 1), (0.3546593719663786, 1), (0.3546593719663789, 1), (0.3298412719866731, 1), (0.686919236011818, 1), (0.9999999999998188, 1), (0.6869192360117267, 1), (0.741766371577331, 1), (0.999999999999811, 1), (0.3546593719663748, 1), (0.6634397472325421, 1), (0.32984127198669844, 1), (0.7469636418516455, 1), (0.31329587200023584, 1), (0.35465937196637953, 1)]",hmbpp_c
ctp_c,7.835388674562983,0.0134821095526868,"[(0.3487899410738068, 1), (0.6187001932088696, 1), (0.9999999999999859, 1), (0.3487899410741768, 1), (0.34878994107417804, 1), (0.2922565557539044, 1), (0.6187001932088663, 1), (0.9069044900755013, 1), (0.6187001932088099, 1), (0.6274446720424592, 1), (0.9999999999999919, 1), (0.34878994107417727, 1), (0.6655489282307618, 1), (0.2999782266997496, 1), (0.6988278193131602, 1), (0.2999782266997485, 1), (0.34878994107417705, 1)]",CTP
akg_e,7.824750664408406,0.013533909262029771,"[(0.2808097776259245, 1), (0.5215644952676359, 1), (0.8260558770931192, 1), (0.2808097776259653, 1), (0.2808097776259589, 1), (0.2506783618368055, 1), (0.5215644952676296, 1), (0.8260558770931079, 1), (0.5215644952676004, 1), (0.5173700363523123, 1), (0.8260558770931049, 1), (0.28080977762596593, 1), (0.6488261363769461, 1), (0.2506783618368062, 1), (0.5173700363523187, 1), (0.25067836183680386, 1), (0.28080977762596565, 1)]",2-Oxoglutarate
co2dam_c,7.809834158446838,0.013606927959221556,"[(0.6255468560943966, 4), (0.6190439644038123, 4), (0.6274912364865686, 2), (0.6112097745961053, 2), (0.619043964403807, 1), (0.6190439644038096, 1), (0.6255468560943965, 1), (0.6274912364865671, 1), (0.6255468560944067, 1)]",Cob-II-yrinate-a-c-diamide
2mahmp_c,7.801654452271899,0.013647161106241555,"[(0.2877887491369199, 2), (0.28778874913631336, 1), (0.6191882105328418, 1), (0.9804613467076113, 1), (0.2877887491369212, 1), (0.2877887491369231, 1), (0.27968610712043285, 1), (0.6191882105328338, 1), (0.8065215789836238, 1), (0.6191882105327671, 1), (0.6287586993232671, 1), (0.9804613467076198, 1), (0.6815773928351618, 1), (0.28778874913692465, 1), (0.6422700543472663, 1), (0.28778874913691976, 1)]",2-Methyl-4-amino-5-hydroxymethylpyrimidine-diphosphate
